id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
75,2020-9-6-1-23-7-13368,3,-7472,-11632,7064,-4080,-82,297
76,2020-9-6-1-23-7-13678,1,16288,5068,-6604,-3392,265,-208
77,2020-9-6-1-23-7-13684,2,-5800,-13308,-7628,-3456,-448,614
78,2020-9-6-1-23-7-13779,4,1076,-1832,32767,-3744,6032,-9401
79,2020-9-6-1-23-7-13869,3,-7520,-11752,6748,-4064,-979,-564
80,2020-9-6-1-23-8-14181,1,16416,4556,-7124,-3392,7,1990
81,2020-9-6-1-23-8-14187,2,-5608,-13240,-7772,-3440,-1340,-411
82,2020-9-6-1-23-8-14282,4,1576,6408,13788,-3744,16707,3478
83,2020-9-6-1-23-8-14373,3,-8208,-12096,6180,-4064,-1132,-320
84,2020-9-6-1-23-8-14682,1,16176,4004,-7408,-3424,-740,311
85,2020-9-6-1-23-8-14688,2,-5088,-13112,-8560,-3440,-486,252
86,2020-9-6-1-23-8-14787,4,2668,1788,6748,-3728,14868,10940
87,2020-9-6-1-23-8-14873,3,-8172,-11924,5632,-4048,-299,-245
88,2020-9-6-1-23-9-15187,1,15340,2416,-6668,-3408,266,54
89,2020-9-6-1-23-9-15190,2,-5188,-13044,-8708,-3472,-302,271
90,2020-9-6-1-23-9-15285,4,4732,-3156,-3356,-3776,642,-2682
91,2020-9-6-1-23-9-15374,3,-8292,-12180,5784,-4064,-68,168
92,2020-9-6-1-23-9-15688,1,15572,4496,-7848,-3424,-1284,-155
93,2020-9-6-1-23-9-15697,2,-5312,-13196,-8360,-3408,-576,236
94,2020-9-6-1-23-9-15788,4,1832,-536,-2680,-3760,-15875,5633
95,2020-9-6-1-23-9-15877,3,-8092,-11852,5740,-4048,65,205
96,2020-9-6-1-23-10-16187,1,15612,4428,-7728,-3392,-576,128
97,2020-9-6-1-23-10-16193,2,-5224,-13220,-8784,-3440,-350,33
98,2020-9-6-1-23-10-16291,4,1168,-7540,13364,-3744,-23138,8069
99,2020-9-6-1-23-10-16379,3,-8480,-11672,6220,-4048,173,409
100,2020-9-6-1-23-10-16690,1,15632,4264,-7820,-3408,-115,-831
101,2020-9-6-1-23-10-16697,2,-5124,-13444,-8536,-3440,-111,47
102,2020-9-6-1-23-10-16794,4,-7868,-3372,32767,-3744,-14141,-5906
103,2020-9-6-1-23-10-16880,3,-8516,-11448,6380,-4064,-99,346
104,2020-9-6-1-23-11-17195,1,15808,4240,-7944,-3392,-135,-476
105,2020-9-6-1-23-11-17197,2,-4816,-13084,-8480,-3440,-756,-167
106,2020-9-6-1-23-11-17296,4,3320,764,26648,-3760,12859,-3152
107,2020-9-6-1-23-11-17382,3,-7468,-12068,6404,-4080,-1179,-2780
108,2020-9-6-1-23-11-17693,1,16352,3984,-8068,-3408,-908,459
109,2020-9-6-1-23-11-17698,2,-4764,-13548,-8268,-3456,-250,713
110,2020-9-6-1-23-11-17797,4,2096,-692,-4628,-3760,2218,32767
111,2020-9-6-1-23-12-17886,3,-6852,-12052,7032,-4064,-646,-424
112,2020-9-6-1-23-12-18195,1,15248,3664,-7844,-3392,-1200,-767
113,2020-9-6-1-23-12-18200,2,-6176,-11976,-8432,-3456,-484,283
114,2020-9-6-1-23-12-18297,4,1596,-4180,29504,-3744,-17082,7158
115,2020-9-6-1-23-12-18386,3,-7176,-11808,7268,-4048,-162,206
116,2020-9-6-1-23-12-18698,1,12372,4216,-18884,-3424,4973,-8510
117,2020-9-6-1-23-12-18705,2,-5040,-10528,-9428,-3472,-381,-1892
118,2020-9-6-1-23-12-18800,4,3752,2092,13664,-3760,20199,3324
119,2020-9-6-1-23-13-18890,3,-6708,-12440,7024,-4032,-534,-885
120,2020-9-6-1-23-13-19204,1,7932,-1204,-17844,-3392,2671,2821
121,2020-9-6-1-23-13-19207,2,-4188,-14228,-7608,-3472,255,728
122,2020-9-6-1-23-13-19302,4,-1224,-3528,-18424,-3792,-15676,-17431
123,2020-9-6-1-23-13-19389,3,-4872,-11056,6796,-4016,-712,1476
124,2020-9-6-1-23-13-19703,1,9684,-2492,-15532,-3392,-803,-1029
125,2020-9-6-1-23-13-19708,2,-4900,-14948,-7612,-3440,-706,432
126,2020-9-6-1-23-13-19806,4,1536,2248,32767,-3792,9573,-5076
127,2020-9-6-1-23-14-19892,3,-5256,-13852,6828,-4048,859,1135
128,2020-9-6-1-23-14-20204,1,10800,-2832,-16600,-3344,-5152,758
129,2020-9-6-1-23-14-20209,2,-5316,-15444,-6224,-3456,2359,676
130,2020-9-6-1-23-14-20305,4,2396,-5932,-24032,-3776,-9259,-6391
131,2020-9-6-1-23-14-20394,3,-3696,-12768,7436,-4064,1029,1530
132,2020-9-6-1-23-14-20706,1,5524,-10360,-32768,-3376,-15753,4938
133,2020-9-6-1-23-14-20713,2,-5892,-14036,-7120,-3456,-796,-1084
134,2020-9-6-1-23-14-20807,4,6184,6876,8708,-3808,5212,-966
135,2020-9-6-1-23-15-20898,3,-4972,-12560,7440,-4080,-363,-87
136,2020-9-6-1-23-15-21209,1,2920,3764,408,-3392,-8833,9714
137,2020-9-6-1-23-15-21215,2,-5552,-16092,-6264,-3440,-3233,1087
138,2020-9-6-1-23-15-21311,4,15760,1012,6096,-3792,-1947,2371
139,2020-9-6-1-23-15-21401,3,-5756,-12536,7236,-4032,-1110,-4004
140,2020-9-6-1-23-15-21711,1,1244,-2752,-2188,-3392,15514,-4287
141,2020-9-6-1-23-15-21727,2,-5712,-10648,-9116,-3456,67,-1284
142,2020-9-6-1-23-15-21817,4,14872,1352,7656,-3776,-330,1657
143,2020-9-6-1-23-16-21901,3,-4496,-12580,7536,-4080,-367,-450
144,2020-9-6-1-23-16-22214,1,1456,6540,-27056,-3376,-8826,-6069
145,2020-9-6-1-23-16-22217,2,-6344,-14136,-6348,-3424,711,-26
146,2020-9-6-1-23-16-22314,4,14764,2716,7820,-3776,-1163,1879
147,2020-9-6-1-23-16-22401,3,-4180,-12692,8412,-4032,369,80
148,2020-9-6-1-23-16-22714,1,944,-3072,-176,-3376,13181,2888
149,2020-9-6-1-23-16-22719,2,-6536,-13996,-6436,-3472,-353,-818
150,2020-9-6-1-23-16-22815,4,14576,1636,8160,-3760,456,26
151,2020-9-6-1-23-17-22904,3,-3944,-12704,8212,-4064,-422,-75
152,2020-9-6-1-23-17-23216,1,2260,-260,-32768,-3408,-3454,-34
153,2020-9-6-1-23-17-23220,2,-6640,-13660,-6340,-3440,-317,-136
154,2020-9-6-1-23-17-23317,4,14568,3036,8296,-3792,-637,15
155,2020-9-6-1-23-17-23406,3,-4780,-12488,8136,-4048,101,3069
156,2020-9-6-1-23-17-23719,1,2352,8096,-19476,-3360,-18751,-7271
157,2020-9-6-1-23-17-23722,2,-6328,-13696,-6580,-3440,-495,246
158,2020-9-6-1-23-17-23819,4,14460,1404,8496,-3776,-547,215
159,2020-9-6-1-23-18-23907,3,-5324,-12572,7616,-4080,-195,-90
160,2020-9-6-1-23-18-24219,1,3244,-424,14924,-3392,9618,12177
161,2020-9-6-1-23-18-24225,2,-6372,-13564,-6528,-3424,-386,-116
162,2020-9-6-1-23-18-24321,4,14276,2348,8760,-3744,-153,-1207
163,2020-9-6-1-23-18-24409,3,-5580,-12368,7720,-4064,-385,85
164,2020-9-6-1-23-18-24721,1,1968,1832,5628,-3392,9857,6633
165,2020-9-6-1-23-18-24726,2,-6464,-13456,-6588,-3424,-290,-55
166,2020-9-6-1-23-18-24823,4,14576,1852,8028,-3728,-198,-1095
167,2020-9-6-1-23-19-24915,3,-5752,-12332,7720,-4064,-262,152
168,2020-9-6-1-23-19-25223,1,2940,-1428,-5508,-3424,22014,-1340
169,2020-9-6-1-23-19-25229,2,-6504,-13556,-6608,-3440,-322,14
170,2020-9-6-1-23-19-25326,4,14428,1620,7996,-3760,438,-852
171,2020-9-6-1-23-19-25418,3,-5536,-12500,7544,-4064,-431,-203
172,2020-9-6-1-23-19-25726,1,1880,3720,20332,-3376,6112,18232
173,2020-9-6-1-23-19-25733,2,-6232,-13628,-6700,-3424,-229,-81
174,2020-9-6-1-23-19-25827,4,14588,2216,7896,-3776,473,-861
175,2020-9-6-1-23-20-25916,3,-5864,-12276,7620,-4048,-379,-80
176,2020-9-6-1-23-20-26227,1,3440,-136,10556,-3344,13314,2077
177,2020-9-6-1-23-20-26233,2,-6688,-13452,-6460,-3440,-275,16
178,2020-9-6-1-23-20-26329,4,14620,544,6488,-3792,-93,-1934
179,2020-9-6-1-23-20-26417,3,-5764,-12404,7700,-4064,-354,-66
180,2020-9-6-1-23-20-26729,1,1208,-2992,-3240,-3376,17396,-7805
181,2020-9-6-1-23-20-26736,2,-6584,-13564,-6364,-3424,-272,120
182,2020-9-6-1-23-20-26832,4,14648,2108,8056,-3760,277,-277
183,2020-9-6-1-23-21-26920,3,-5592,-12452,7572,-4016,-227,80
184,2020-9-6-1-23-21-27231,1,1164,-2744,-4340,-3376,20577,-7030
185,2020-9-6-1-23-21-27238,2,-6264,-13644,-6524,-3472,-288,281
186,2020-9-6-1-23-21-27336,4,14904,1672,7068,-3760,568,2336
187,2020-9-6-1-23-21-27421,3,-5688,-12376,7420,-4016,-458,47
188,2020-9-6-1-23-21-27734,1,6692,-12500,-32768,-3376,12276,-15210
189,2020-9-6-1-23-21-27737,2,-6360,-13728,-6600,-3424,-373,-78
190,2020-9-6-1-23-21-27835,4,14280,3644,9152,-3728,-2,1326
191,2020-9-6-1-23-22-27926,3,-5368,-12520,7612,-4032,-311,-23
192,2020-9-6-1-23-22-28235,1,2544,5420,-32768,-3344,-14887,-4458
193,2020-9-6-1-23-22-28241,2,-6672,-13608,-6324,-3440,-320,200
194,2020-9-6-1-23-22-28338,4,14452,2688,8532,-3744,-1022,253
